Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Florent Mollet,"Nantes, ",32,",  AM(CLR)  ",24(5),2091	,4	,1.3	,31.2	,87.2	,0.8	,0.9	,-	,6.61
Iliman Ndiaye,"Marseille, ",24,",  AM(CLR),FW  ",19(11),1626	,3	,0.7	,18.1	,85.1	,0.1	,0.2	,-	,6.61
Deiver Machado,"Lens, ",30,",  M(L)  ",13(6),1128	,-	,0.7	,19.5	,81.9	,0.3	,0.4	,-	,6.60
Habib Diarra,"Strasbourg, ",20,",  AM(CLR)  ",28(3),2314	,1	,0.7	,27.3	,86.2	,0.1	,1.6	,-	,6.60
Cristian Cásseres,"Toulouse, ",24,",  M(CR)  ",23(9),1950	,3	,0.5	,31.1	,82.5	,0.2	,1.5	,-	,6.59
Jake O'Brien,"Lyon, ",23,",  D(C)  ",27,2370	,2	,0.2	,52.9	,88.3	,-	,3.4	,-	,6.59
Duje Caleta-Car,"Lyon, ",27,",  D(C)  ",22(2),1992	,-	,0.3	,50	,87.3	,-	,2.3	,-	,6.59
Akor Adams,"Montpellier, ",24,",  FW  ",27(5),2264	,1	,0.5	,11.6	,66.4	,0.1	,0.3	,-	,6.59
Junior Mwanga,"Strasbourg, ",21,",  DMC  ",17(5),1458	,1	,0.6	,23.4	,80.7	,-	,1.2	,-	,6.59
Yoann Salmier,"Le Havre, ",31,",  D(CR)  ",18(2),1570	,1	,0.3	,34.9	,80.6	,0.1	,2.2	,-	,6.59
Jean-Charles Castelletto,"Nantes, ",29,",  D(CR)  ",28,2466	,-	,0.4	,45.4	,86.8	,0.1	,2	,-	,6.58
Milan Skriniar,"PSG, ",29,",  D(C)  ",17(7),1625	,-	,-	,75.5	,95.4	,-	,2.3	,-	,6.58
Abakar Sylla,"Strasbourg, ",21,",  D(C)  ",19(3),1792	,-	,0.2	,56.5	,88.2	,-	,2.5	,-	,6.58
Mohamed-Ali Cho,"Nice, ",20,",  AM(R),FW  ",11(6),866	,2	,0.8	,13.1	,82.5	,0.5	,0.1	,-	,6.58
Moussa Diarra,"Toulouse, ",23,",  D(CL)  ",15(7),1395	,2	,0.5	,27.4	,82.2	,0.2	,1.1	,-	,6.58
Ainsley Maitland-Niles,"Lyon, ",26,",  D(LR),M(CLR)  ",16(7),1433	,4	,0.8	,29.8	,84.4	,0.1	,1.2	,-	,6.57
Thomas Delaine,"Strasbourg, ",32,",  D(L),M(LR)  ",24(3),2052	,1	,1	,23.3	,77.1	,0.9	,1	,-	,6.57
Habib Keïta,"Clermont Foot, ",22,",  DMC  ",12(15),1273	,-	,0.4	,24.8	,88	,-	,2	,-	,6.57
Christopher Wooh,"Rennes, ",22,",  D(C)  ",15(3),1388	,-	,0.3	,43.6	,85.8	,-	,2.3	,0.1	,6.57
Keito Nakamura,"Reims, ",23,",  AM(L)  ",17(8),1390	,1	,0.6	,14.8	,77.4	,0.2	,0.6	,0.1	,6.56
Ângelo,"Strasbourg, ",19,",  AM(LR)  ",11(10),1089	,3	,1.2	,18	,75.2	,0.5	,0.6	,0.1	,6.56
Mikkel Desler,"Toulouse, ",29,",  D(R),M(R)  ",19(5),1552	,1	,0.3	,31.9	,85.1	,0.2	,0.5	,-	,6.56
Soungoutou Magassa,"Monaco, ",20,",  D(C)  ",15(6),1344	,-	,0.1	,47.2	,87.4	,-	,2.8	,-	,6.56
Folarin Balogun,"Monaco, ",23,",  FW  ",19(10),1697	,5	,0.9	,12.1	,74.9	,-	,0.1	,-	,6.56
Ablie Jallow,"Metz, ",25,",  AM(CR)  ",10(7),923	,2	,0.7	,17.1	,82.5	,0.4	,1.1	,0.1	,6.55
Matthis Abline,"Nantes, ",21,",  AM(L),FW  ",12(10),1044	,-	,0.8	,10.1	,71.6	,0.1	,0.2	,-	,6.55
