Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/471975/Show/Emmanuel-Sabbi,Emmanuel Sabbi,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,"Le Havre, ",26,",  AM(L)  ",18(12),1589	,5	,1	,5	,-	,1	,73.5	,0.4	,1	,6.53
https://www.whoscored.com/Players/486042/Show/Josu%C3%A9-Casimir,Josué Casimir,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,"Le Havre, ",22,",  M(LR),FW  ",25(5),2035	,-	,5	,6	,-	,0.7	,77.1	,0.7	,1	,6.53
https://www.whoscored.com/Players/474266/Show/Cheick-Oumar-Konat%C3%A9,Cheick Oumar Konaté,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",20,",  D(C),M(R)  ",12(7),1069	,1	,1	,4	,-	,0.7	,70.6	,0.4	,-	,6.53
https://www.whoscored.com/Players/299562/Show/Ludovic-Blas,Ludovic Blas,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",26,",  M(CLR),FW  ",18(11),1568	,4	,1	,3	,-	,1.5	,85.5	,0.2	,1	,6.52
https://www.whoscored.com/Players/135211/Show/Ti%C3%A9mou%C3%A9-Bakayoko,Tiémoué Bakayoko,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",29,",  DMC  ",15(5),1317	,2	,1	,5	,-	,0.6	,86.6	,1.2	,-	,6.51
https://www.whoscored.com/Players/345527/Show/Jordan-Lotomba,Jordan Lotomba,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",25,",  D(LR),M(R)  ",21(7),1809	,1	,-	,4	,-	,0.4	,85.9	,0.8	,-	,6.51
https://www.whoscored.com/Players/400163/Show/Emanuel-Emegha,Emanuel Emegha,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",21,",  FW  ",23(5),2090	,8	,1	,3	,-	,1.7	,73.3	,1.2	,-	,6.51
https://www.whoscored.com/Players/256539/Show/Marcus-Coco,Marcus Coco,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",28,",  D(R),M(LR),FW  ",18(10),1489	,1	,-	,2	,-	,0.3	,77.4	,0.9	,2	,6.51
https://www.whoscored.com/Players/143437/Show/Daler-Kuzyaev,Daler Kuzyaev,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,"Le Havre, ",31,",  D(R),M(CLR)  ",24(6),2099	,2	,2	,1	,-	,0.5	,80.5	,0.9	,1	,6.51
https://www.whoscored.com/Players/297409/Show/Pedro-Chirivella,Pedro Chirivella,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",27,",  DMC  ",31(1),2603	,1	,1	,5	,-	,0.5	,86.9	,0.4	,-	,6.50
https://www.whoscored.com/Players/140051/Show/Ga%C3%ABtan-Laborde,Gaëtan Laborde,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",30,",  AM(CLR),FW  ",22(12),1914	,5	,2	,2	,-	,1.9	,70.6	,0.9	,-	,6.50
https://www.whoscored.com/Players/303314/Show/Mathias-Pereira-Lage,Mathias Pereira Lage,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",27,",  M(CLR)  ",12(18),1182	,3	,2	,3	,-	,1.2	,76.7	,1	,-	,6.50
https://www.whoscored.com/Players/430297/Show/Frank-Magri,Frank Magri,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",24,",  FW  ",14(15),1434	,5	,2	,5	,-	,1.4	,71.7	,1.3	,-	,6.49
https://www.whoscored.com/Players/129819/Show/Wesley-Sa%C3%AFd,Wesley Saïd,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",29,",  AM(CLR),FW  ",11(16),1015	,7	,1	,1	,-	,1.7	,75.2	,0.3	,-	,6.49
https://www.whoscored.com/Players/454324/Show/Oumar-Diakit%C3%A9,Oumar Diakité,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",20,",  FW  ",18(10),1590	,5	,1	,4	,-	,1.3	,79.1	,0.8	,-	,6.49
https://www.whoscored.com/Players/297577/Show/Adam-Ounas,Adam Ounas,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",27,",  AM(CLR),FW  ",3(14),408	,1	,-	,-	,-	,0.5	,76.9	,0.4	,-	,6.49
https://www.whoscored.com/Players/79560/Show/Maxime-Gonalons,Maxime Gonalons,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",35,",  D(C),M(C)  ",17(4),1310	,1	,-	,4	,-	,0.6	,86.5	,0.7	,-	,6.49
https://www.whoscored.com/Players/455515/Show/Amir-Richardson,Amir Richardson,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",22,",  M(C)  ",14(14),1352	,3	,1	,4	,-	,0.6	,83.5	,0.6	,1	,6.48
https://www.whoscored.com/Players/392361/Show/Azzedine-Ounahi,Azzedine Ounahi,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",24,",  AM(CR)  ",15(6),1215	,2	,-	,3	,-	,0.8	,90.6	,0.1	,1	,6.48
https://www.whoscored.com/Players/400304/Show/Shamar-Nicholson,Shamar Nicholson,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",27,",  AM(C),FW  ",17(9),1487	,4	,3	,2	,-	,1.5	,71.1	,1.8	,-	,6.48
https://www.whoscored.com/Players/236561/Show/Johan-Gastien,Johan Gastien,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",36,",  DMC  ",28,2273	,-	,-	,7	,-	,0.4	,83.8	,0.6	,-	,6.47
